"subject","trial_num","step2resp","step1resp","step2state","reward"
"EEGTDPRJ05DE2F63",41,2,2,3,1
"EEGTDPRJ05DE2F63",42,2,2,3,1
"EEGTDPRJ05DE2F63",43,2,2,3,1
"EEGTDPRJ05DE2F63",44,2,2,3,0
"EEGTDPRJ05DE2F63",45,2,1,2,1
"EEGTDPRJ05DE2F63",46,2,1,2,1
"EEGTDPRJ05DE2F63",47,2,1,2,0
"EEGTDPRJ05DE2F63",48,1,2,2,1
"EEGTDPRJ05DE2F63",49,1,1,2,1
"EEGTDPRJ05DE2F63",50,1,1,2,1
"EEGTDPRJ05DE2F63",51,1,1,2,0
"EEGTDPRJ05DE2F63",52,2,2,3,1
"EEGTDPRJ05DE2F63",53,2,2,3,1
"EEGTDPRJ05DE2F63",54,2,2,3,1
"EEGTDPRJ05DE2F63",55,2,2,3,0
"EEGTDPRJ05DE2F63",56,2,1,3,0
"EEGTDPRJ05DE2F63",57,1,1,2,0
"EEGTDPRJ05DE2F63",58,1,1,3,0
"EEGTDPRJ05DE2F63",59,2,1,3,0
"EEGTDPRJ05DE2F63",60,2,1,2,1
"EEGTDPRJ05DE2F63",61,2,1,2,1
"EEGTDPRJ05DE2F63",62,2,1,2,0
"EEGTDPRJ05DE2F63",63,2,2,3,1
"EEGTDPRJ05DE2F63",64,2,2,3,1
"EEGTDPRJ05DE2F63",65,2,2,3,1
"EEGTDPRJ05DE2F63",66,1,2,2,1
"EEGTDPRJ05DE2F63",67,1,2,2,1
"EEGTDPRJ05DE2F63",68,2,2,3,1
"EEGTDPRJ05DE2F63",69,2,2,3,0
"EEGTDPRJ05DE2F63",70,NA,NA,NA,NA
"EEGTDPRJ05DE2F63",71,1,1,3,1
"EEGTDPRJ05DE2F63",72,1,1,3,0
"EEGTDPRJ05DE2F63",73,1,2,2,0
"EEGTDPRJ05DE2F63",74,1,2,3,0
"EEGTDPRJ05DE2F63",75,2,1,2,0
"EEGTDPRJ05DE2F63",76,2,1,3,1
"EEGTDPRJ05DE2F63",77,2,1,2,1
"EEGTDPRJ05DE2F63",78,2,1,2,1
"EEGTDPRJ05DE2F63",79,2,1,2,1
"EEGTDPRJ05DE2F63",80,2,1,2,0
"EEGTDPRJ05DE2F63",81,2,2,3,1
